,Affiliations,TP,TC,Top100,F
1,"University of Chinese Academy of Sciences, Beijing, China",14,80.0,6,12
2,"College of Information and Electrical Engineering, China Agricultural University, Beijing, 100083, China",9,36.0,5,3
3,"Language Technologies Institute, Carnegie Mellon University, United States",5,147.0,3,3
4,"Microsoft Research Asia, Beijing, China",5,117.0,2,1
5,"School of Software Engineering, South China University of Technology, Guangzhou, China",5,40.0,1,5
6,"University of Chinese Academy of Sciences, Beijing, 100049, China",5,35.0,3,4
7,"Lomonosov Moscow State University, Moscow, Russian Federation",5,24.0,2,4
8,,5,20.0,3,1
9,"University of Trento, Italy",5,10.0,1,1
10,"Beijing Institute of Health Administration and Medical Information, Beijing, 100850, China",4,205.0,1,3
11,"National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing, 100190, China",4,128.0,2,4
12,"University of Pennsylvania, United States",4,118.0,2,3
13,"Schools of Computer Science and Technology, Harbin Institute of Technology, Harbin, China",4,111.0,1,2
14,"College of Computer, National University of Defense Technology, Changsha, China",4,64.0,1,4
15,"School of Computer Science and Technology, Dalian University of Technology, Dalian, China",4,59.0,3,3
16,"Centre for Intelligent Systems Research, Deakin University, Australia",4,38.0,0,0
